[INFO ] 2021-01-11 15:37:34,787 任务开始
[INFO ] 2021-01-11 15:37:46,198 任务手动结束
[INFO ] 2021-01-11 15:40:02,963 任务开始
[INFO ] 2021-01-11 15:40:19,186 任务开始
[INFO ] 2021-01-11 15:42:05,947 任务手动结束
[INFO ] 2021-01-11 15:42:11,525 任务开始
[INFO ] 2021-01-11 15:42:19,127 任务手动结束
[INFO ] 2021-01-11 15:45:34,246 任务开始
[INFO ] 2021-01-11 15:48:59,425 任务开始
[INFO ] 2021-01-11 15:59:48,626 任务开始
[INFO ] 2021-01-11 16:02:00,288 任务开始
[INFO ] 2021-01-11 16:02:23,359 任务手动结束
[INFO ] 2021-01-11 16:04:11,297 任务开始
[INFO ] 2021-01-11 16:04:55,977 任务开始
[INFO ] 2021-01-11 16:05:12,376 任务开始
[INFO ] 2021-01-11 16:05:17,059 任务手动结束
[INFO ] 2021-01-11 16:10:31,527 任务开始
[INFO ] 2021-01-11 16:10:43,705 任务开始
[INFO ] 2021-01-11 16:12:03,560 任务开始
[INFO ] 2021-01-11 16:13:36,136 任务开始
[INFO ] 2021-01-11 16:13:57,799 任务开始
[INFO ] 2021-01-11 16:13:58,002 失败:imagefile imgs/manfInfocard/2016070411083510.jpg
[INFO ] 2021-01-11 16:13:58,003 失败:imagefile imgs/manfInfocard/2016070411064982.jpg
[INFO ] 2021-01-11 16:13:58,003 失败:imagefile imgs/manfInfocard/2017022417004025.jpg
[INFO ] 2021-01-11 16:13:58,004 失败:imagefile imgs/manfInfocard/2016070411090020.jpg
[INFO ] 2021-01-11 16:13:58,006 失败:imagefile imgs/manfInfocard/2016070411092759.jpg
[INFO ] 2021-01-11 16:13:58,006 失败:imagefile imgs/manfInfocard/2016070411095990.jpg
[INFO ] 2021-01-11 16:13:58,007 失败:imagefile imgs/manfInfocard/2019041514384237.jpg
[INFO ] 2021-01-11 16:13:58,009 失败:imagefile imgs/manfInfocard/2020071715203876.jpg
[INFO ] 2021-01-11 16:13:58,013 失败:imagefile imgs/manfInfocard/202011101430519.jpg
[INFO ] 2021-01-11 16:13:58,014 失败:imagefile imgs/manfInfocard/2020111014310678.jpg
[INFO ] 2021-01-11 16:13:58,014 失败:imagefile imgs/manfInfocard/2016072714215226.jpg
[INFO ] 2021-01-11 16:13:58,014 失败:imagefile imgs/manfInfocard/2016072714214166.jpg
[INFO ] 2021-01-11 16:13:58,015 失败:imagefile imgs/manfInfocard/2016072714220574.jpg
[INFO ] 2021-01-11 16:13:58,016 失败:imagefile imgs/manfInfocard/2016072714223078.jpg
[INFO ] 2021-01-11 16:13:58,017 失败:imagefile imgs/manfInfocard/2016072714225395.jpg
[INFO ] 2021-01-11 16:13:58,018 失败:imagefile imgs/manfInfocard/2016072714231663.jpg
[INFO ] 2021-01-11 16:13:58,018 失败:imagefile imgs/manfInfocard/201904161704343.jpg
[INFO ] 2021-01-11 16:13:58,019 失败:imagefile imgs/manfInfocard/2019112211123773.jpg
[INFO ] 2021-01-11 16:13:58,019 失败:imagefile imgs/manfInfocard/2016121513074923.jpg
[INFO ] 2021-01-11 16:13:58,020 失败:imagefile imgs/manfInfocard/2019112016273920.jpg
[INFO ] 2021-01-11 16:13:58,020 失败:imagefile imgs/manfInfocard/2020111014313824.jpg
[INFO ] 2021-01-11 16:13:58,021 失败:imagefile imgs/manfInfocard/2019112016275427.jpg
[INFO ] 2021-01-11 16:13:58,021 失败:imagefile imgs/manfInfocard/2019042313350240.jpg
[INFO ] 2021-01-11 16:13:58,022 失败:imagefile imgs/manfInfocard/2020051511343716.jpg
[INFO ] 2021-01-11 16:13:58,023 失败:imagefile imgs/manfInfocard/202008131447411.jpg
[INFO ] 2021-01-11 16:13:58,025 失败:imagefile imgs/manfInfocard/202007111045317.jpg
[INFO ] 2021-01-11 16:13:58,026 失败:imagefile imgs/manfInfocard/2016122215121773.jpg
[INFO ] 2021-01-11 16:13:58,027 失败:imagefile imgs/manfInfocard/2020052115445021.jpg
[INFO ] 2021-01-11 16:13:58,027 失败:imagefile imgs/manfInfocard/2019120412190583.jpg
[INFO ] 2021-01-11 16:13:58,028 失败:imagefile imgs/manfInfocard/2020110509071781.jpg
[INFO ] 2021-01-11 16:13:58,029 失败:imagefile imgs/manfInfocard/2020082416052222.jpg
[INFO ] 2021-01-11 16:13:58,029 失败:imagefile imgs/manfInfocard/2019080617475757.jpg
[INFO ] 2021-01-11 16:13:58,031 失败:imagefile imgs/manfInfocard/2016111817082970.JPG
[INFO ] 2021-01-11 16:13:58,031 失败:imagefile imgs/manfInfocard/2020051511355876.jpg
[INFO ] 2021-01-11 16:13:58,033 失败:imagefile imgs/manfInfocard/2020110510261189.jpg
[INFO ] 2021-01-11 16:13:58,055 失败:imagefile imgs/manfInfocard/2016120909290642.jpg
[INFO ] 2021-01-11 16:13:58,057 失败:imagefile imgs/manfInfocard/2016121211534629.jpg
[INFO ] 2021-01-11 16:13:58,060 失败:imagefile imgs/manfInfocard/2017022414254425.jpg
[INFO ] 2021-01-11 16:13:58,061 失败:imagefile imgs/manfInfocard/2017022414255723.jpg
[INFO ] 2021-01-11 16:13:58,062 失败:imagefile imgs/manfInfocard/2020011515481330.jpeg
[INFO ] 2021-01-11 16:13:58,063 失败:imagefile imgs/manfInfocard/2019121811415150.jpg
[INFO ] 2021-01-11 16:13:58,063 失败:imagefile imgs/manfInfocard/2020011515482755.jpeg
[INFO ] 2021-01-11 16:13:58,065 失败:imagefile imgs/manfInfocard/2020111115330163.jpg
[INFO ] 2021-01-11 16:13:58,066 失败:imagefile imgs/manfInfocard/2020041411274644.jpg
[INFO ] 2021-01-11 16:13:58,067 失败:imagefile imgs/manfInfocard/2020052611371661.jpg
[INFO ] 2021-01-11 16:13:58,067 失败:imagefile imgs/manfInfocard/2019052913215546.jpg
[INFO ] 2021-01-11 16:13:58,068 失败:imagefile imgs/manfInfocard/2017032810185268.jpg
[INFO ] 2021-01-11 16:13:58,069 失败:imagefile imgs/manfInfocard/2017060715003430.jpg
[INFO ] 2021-01-11 16:13:58,070 失败:imagefile imgs/manfInfocard/2020010915435911.jpg
[INFO ] 2021-01-11 16:13:58,071 失败:imagefile imgs/manfInfocard/2016030214204281.jpg
[INFO ] 2021-01-11 16:13:58,072 失败:imagefile imgs/manfInfocard/2019080910370489.jpg
[INFO ] 2021-01-11 16:13:58,073 失败:imagefile imgs/manfInfocard/2019040110142943.jpg
[INFO ] 2021-01-11 16:13:58,074 失败:imagefile imgs/manfInfocard/201708241503587.jpg
[INFO ] 2021-01-11 16:13:58,075 失败:imagefile imgs/manfInfocard/2019061917221171.jpg
[INFO ] 2021-01-11 16:13:58,076 失败:imagefile imgs/manfInfocard/2019030715561634.jpg
[INFO ] 2021-01-11 16:13:58,077 失败:imagefile imgs/manfInfocard/2016032817443878.jpg
[INFO ] 2021-01-11 16:13:58,078 失败:imagefile imgs/manfInfocard/2020071617314538.jpg
[INFO ] 2021-01-11 16:13:58,078 失败:imagefile imgs/manfInfocard/2016121611024045.jpg
[INFO ] 2021-01-11 16:13:58,079 失败:imagefile imgs/manfInfocard/2020103012151115.jpg
[INFO ] 2021-01-11 16:13:58,080 失败:imagefile imgs/manfInfocard/2016121611031220.jpg
[INFO ] 2021-01-11 16:13:58,081 失败:imagefile imgs/manfInfocard/2016121611032352.jpg
[INFO ] 2021-01-11 16:13:58,082 失败:imagefile imgs/manfInfocard/2017102714292343.png
[INFO ] 2021-01-11 16:13:58,083 失败:imagefile imgs/manfInfocard/2020032911275856.jpg
[INFO ] 2021-01-11 16:13:58,084 失败:imagefile imgs/manfInfocard/2020032911281039.jpg
[INFO ] 2021-01-11 16:13:58,086 失败:imagefile imgs/manfInfocard/2017022015224854.jpg
[INFO ] 2021-01-11 16:13:58,087 失败:imagefile imgs/manfInfocard/2019122015573268.jpg
[INFO ] 2021-01-11 16:13:58,088 失败:imagefile imgs/manfInfocard/2020010409321146.jpeg
[INFO ] 2021-01-11 16:13:58,089 失败:imagefile imgs/manfInfocard/2020110512035345.jpg
[INFO ] 2021-01-11 16:13:58,090 失败:imagefile imgs/manfInfocard/2019041811190194.jpg
[INFO ] 2021-01-11 16:13:58,090 失败:imagefile imgs/manfInfocard/2020110512155618.jpg
[INFO ] 2021-01-11 16:13:58,091 失败:imagefile imgs/manfInfocard/2020110512174384.jpg
[INFO ] 2021-01-11 16:13:58,091 失败:imagefile imgs/manfInfocard/2020110513165575.jpg
[INFO ] 2021-01-11 16:13:58,092 失败:imagefile imgs/manfInfocard/2016072810481460.jpg
[INFO ] 2021-01-11 16:13:58,092 失败:imagefile imgs/manfInfocard/2016072810482876.jpg
[INFO ] 2021-01-11 16:13:58,093 失败:imagefile imgs/manfInfocard/2016081513051152.jpg
[INFO ] 2021-01-11 16:13:58,093 失败:imagefile imgs/manfInfocard/2019110411412611.jpg
[INFO ] 2021-01-11 16:13:58,094 失败:imagefile imgs/manfInfocard/2019110411423728.jpg
[INFO ] 2021-01-11 16:13:58,094 失败:imagefile imgs/manfInfocard/2020040109100893.jpg
[INFO ] 2021-01-11 16:13:58,095 失败:imagefile imgs/manfInfocard/2020040109102578.jpg
[INFO ] 2021-01-11 16:13:58,095 失败:imagefile imgs/manfInfocard/2019112210013520.jpeg
[INFO ] 2021-01-11 16:13:58,096 失败:imagefile imgs/manfInfocard/2020060613500693.jpg
[INFO ] 2021-01-11 16:13:58,096 失败:imagefile imgs/manfInfocard/201904031724192.jpg
[INFO ] 2021-01-11 16:13:58,098 失败:imagefile imgs/manfInfocard/2019040317245756.jpg
[INFO ] 2021-01-11 16:13:58,098 失败:imagefile imgs/manfInfocard/2019041914205276.jpg
[INFO ] 2021-01-11 16:13:58,099 失败:imagefile imgs/manfInfocard/2019041914233537.jpg
[INFO ] 2021-01-11 16:13:58,099 失败:imagefile imgs/manfInfocard/2019041914244181.jpg
[INFO ] 2021-01-11 16:13:58,100 失败:imagefile imgs/manfInfocard/2019041914250345.jpg
[INFO ] 2021-01-11 16:13:58,100 失败:imagefile imgs/manfInfocard/2017082411261849.jpg
